Nom du produit,Quantité,Prix Unitaire (€),Catégorie
Toyota Corolla,10,25000,Berline
Ford Fiesta,8,20000,Compacte
Honda Civic,15,27000,Berline
Tesla Model 3,5,45000,Horreur
BMW Série 3,7,40000,Berline
Audi A3,9,35000,Compacte
Mercedes Classe A,6,37000,Berline
Volkswagen Golf,12,30000,Compacte
Renault Clio,20,18000,Compacte
Peugeot 208,18,19000,Compacte
Hyundai Tucson,11,32000,SUV
Kia Sportage,10,31000,SUV
Nissan Qashqai,9,33000,SUV
Ford Mustang Fastback V8 BVA6 GT "Pack SHELBY",3,120000,Supercar
Jeep Compass,4,36000,SUV
Mazda CX-5,5,34000,SUV
Volvo XC40,6,38000,SUV
Suzuki Swift,15,22000,Compacte
McLaren 720S,4,300000,Supercar
Aston Martin DB11,2,220000,Supercar
Porsche 911 Turbo S,6,200000,Supercar
Bugatti Chiron,1,3000000,Hypercar
Ferrari SF90 Stradale,3,450000,Supercar
Lamborghini Aventador SVJ,2,500000,Supercar
Fiat 500,20,17000,Compacte
Skoda Octavia,13,29000,Berline
Seat Ibiza,16,21000,Compacte
